Title,Year,Genre,Stars,Rating,Duration
The Beast,2009,"Action, Crime, Drama","['Travis Fimmel', 'Lindsay Pulsipher', ""Kevin J. O'Connor""]",8.4,42
Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.1,51
Bosch,2014,"Crime, Drama","['Jamie Hector', 'Amy Aquino', 'Lance Reddick']",8.6,60
Shetland,2013,"Crime, Drama, Mystery","[""Alison O'Donnell"", 'Steven Robertson', 'Erin Armstrong']",8.4,89
Endeavour,2012,"Crime, Drama, Mystery","['Roger Allam', 'James Bradshaw', 'Sean Rigby']",7.9,45
Babylon Berlin,2017,"Crime, Drama, Thriller","['Liv Lisa Fries', 'Leonie Benesch', 'Christian Friedel']",8.4,60
Strike,2017,"Crime, Drama, Mystery","['Holliday Grainger', 'Kerr Logan', 'Killian Scott']",8.3,45
Terriers,2010,"Comedy, Crime, Drama","['Michael Raymond-James', 'Laura Allen', 'Kimberly Quinn']",8.1,60
Life on Mars,2006,"Crime, Drama, Mystery","['Philip Glenister', 'Liz White', 'Dean Andrews']",7.5,60
Ashes to Ashes,2008,"Crime, Drama, Fantasy","['Keeley Hawes', 'Dean Andrews', 'Marshall Lancaster']",8.3,60
Haven,2010,"Crime, Drama, Fantasy","['Lucas Bryant', 'Eric Balfour', 'Richard Donat']",8.4,60
Dirk Gently's Holistic Detective Agency,2016,"Action, Adventure, Comedy","['Elijah Wood', 'Hannah Marks', 'Jade Eshete']",7.5,50
Utopia,2013,"Drama, Mystery, Sci-Fi","['Paul Higgins', 'Neil Maskell', ""Fiona O'Shaughnessy""]",8.3,50
"Perpetual Grace, LTD",2019,"Comedy, Crime, Drama","['Jimmi Simpson', 'Luis Guzmán', 'Damon Herriman']",8.4,30
Mr Inbetween,2018,"Crime, Drama","['Chika Yasumura', 'Damon Herriman', 'Justin Rosniak']",7.6,30
Wayne,2019,"Action, Comedy","['Ciara Bravo', 'Jon Champagne', 'Jamie Champagne']",8.3,60
Mad Dogs,2011,"Comedy, Crime, Drama","['John Simm', 'Marc Warren', 'Philip Glenister']",7.9,30
Barry,2018,"Action, Comedy, Crime","['Stephen Root', 'Sarah Goldberg', 'Anthony Carrigan']",6.8,30
Spy,2011,Comedy,"['Jude Wright', 'Robert Lindsay', 'Rebekah Staton']",8.7,25
Way to Go,2012,Comedy,"['Ben Heathcote', 'Sinead Matthews', 'Marc Wootton']",7.5,30
BoJack Horseman,2014,"Animation, Comedy, Drama","['Amy Sedaris', 'Alison Brie', 'Aaron Paul']",7.8,22
Back to Life,2019,"Comedy, Drama","['Geraldine James', 'Richard Durden', 'Liam Williams']",8.4,30
Wilfred,2011,"Comedy, Drama, Mystery","['Jason Gann', 'Fiona Gubelmann', 'Dorian Brown Pham']",8.6,30
After Life,2019,"Comedy, Drama","['Tom Basden', 'Tony Way', 'Diane Morgan']",8.2,34
Detectorists,2014,Comedy,"['Toby Jones', 'Rachael Stirling', 'Gerard Horan']",8.8,30
American Vandal,2017,"Comedy, Crime, Drama","['Griffin Gluck', 'Jimmy Tatro', 'Travis Tope']",8.2,30
